PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
70,0,3,female,20.5,0,0,0,S
71,0,3,male,34.5,0,0,9.9,S
72,0,2,male,47.0,0,0,34.08,Q
73,0,3,male,33.2,0,0,0,S
74,0,3,female,42.6,0,0,13.66,Q
75,0,3,male,7.1,2,0,24.83,S
76,1,3,female,23.4,2,0,25.49,Q
77,0,3,female,19.6,0,0,32.0,Q
78,1,2,female,12.1,0,0,11.72,Q
79,1,3,female,18.1,1,0,0,C
80,1,2,female,11.0,0,0,24.12,Q
81,0,2,female,27.9,0,0,30.14,S
82,0,3,male,31.4,1,3,34.5,S
83,0,3,male,24.2,0,0,30.13,C
84,0,3,female,25.6,1,0,2.17,C
85,1,3,female,8.4,0,1,55.69,C
86,1,2,male,9.1,0,1,5.83,Q
87,0,2,female,8.6,0,0,0,Q
88,1,2,female,21.3,0,0,46.19,C
89,0,2,male,32.8,0,0,30.31,Q
90,0,3,male,30.5,1,0,43.12,S
91,1,2,male,12.3,0,2,31.37,C
92,1,1,female,8.4,2,0,59.03,Q
93,1,3,female,11.7,0,0,11.93,Q
94,0,3,male,58.1,1,0,39.76,C
95,0,3,female,6.9,0,0,0,Q
96,1,1,female,19.2,0,0,62.57,Q
97,1,1,male,19.6,0,2,106.98,S
98,1,1,female,13.5,0,0,127.49,C
99,0,3,female,44.0,0,0,20.08,Q
100,0,1,male,43.5,1,0,70.57,S
101,0,1,male,29.1,0,0,83.08,C
102,0,1,male,7.8,0,0,80.32,Q
103,1,2,male,4.5,0,1,50.17,C
104,1,3,female,14.8,0,0,41.75,S
105,1,3,female,38.1,0,0,0,S
106,1,3,male,38.3,0,1,10.22,Q
107,0,3,female,12.4,1,3,31.38,Q
108,1,1,female,49.5,0,0,50.26,Q
109,0,1,male,51.8,0,0,95.8,Q
110,1,3,female,46.8,1,0,4.02,S
111,1,1,female,53.2,0,0,79.46,S
112,1,1,male,19.6,0,1,39.41,Q
113,0,2,male,10.3,1,0,14.97,C
114,1,2,male,9.5,0,0,20.39,Q
115,0,1,female,47.1,0,0,62.5,Q
116,1,2,female,22.3,0,3,0,Q
117,1,2,female,0.5,0,3,0,S
118,0,1,male,49.6,1,2,62.39,C
119,0,2,male,12.7,1,0,0,C
120,0,3,male,22.5,0,0,32.1,C
121,1,2,female,31.4,0,3,29.51,S
122,0,2,male,26.9,0,1,57.29,S
123,0,3,female,35.5,2,1,9.45,S
124,1,2,female,39.8,0,0,30.77,Q
125,0,3,female,42.6,0,0,0,C
126,1,3,female,36.5,0,1,4.82,S
127,0,2,male,31.7,3,0,21.55,C
128,1,1,female,6.4,1,0,115.4,S
129,1,1,female,15.1,0,2,48.68,Q
130,1,2,female,18.3,0,3,25.0,Q
131,1,3,female,38.4,2,2,17.97,Q
132,1,1,male,42.0,3,1,85.63,C
133,1,3,male,6.0,0,1,0,S
134,0,3,male,45.4,1,0,10.05,C
135,0,2,male,25.9,0,0,18.11,Q
136,0,3,female,15.4,0,0,18.05,C
137,1,1,female,0.5,0,0,93.44,Q
138,1,1,female,35.1,0,0,83.66,Q
139,1,3,female,14.2,0,0,30.36,Q
140,0,3,male,1.5,0,1,29.81,Q
141,1,1,female,25.9,2,0,94.17,Q
142,0,3,male,7.0,0,0,25.72,C
143,0,3,female,21.1,1,2,0,Q
144,1,3,female,17.5,0,0,1.02,S
145,0,3,female,35.6,1,0,0,Q
146,0,3,male,12.1,1,0,0,Q
147,1,2,female,22.7,0,0,30.19,C
148,0,3,male,42.4,0,0,25.41,C
149,0,3,male,34.1,1,0,4.22,C
150,1,3,female,16.7,0,0,0,Q
151,1,2,female,16.1,0,3,17.11,C
152,0,2,male,30.6,0,0,0,Q
153,1,1,female,20.1,0,0,77.06,Q
154,0,3,male,13.7,0,0,20.66,Q
155,1,3,female,24.5,2,0,31.76,S
156,1,3,female,51.0,0,0,32.29,S
157,1,3,female,32.3,0,0,46.2,S
158,1,3,female,7.1,0,0,52.57,C
159,0,1,male,31.3,0,1,50.86,Q
160,0,3,female,15.9,0,3,0,Q
161,1,3,male,13.4,0,1,20.31,S
162,0,3,female,24.2,0,0,13.32,S
163,0,3,female,10.7,1,1,17.9,Q
164,0,3,male,21.1,0,0,32.47,C
165,0,3,male,19.4,0,0,11.65,Q
166,1,3,female,20.0,0,0,23.69,S
167,0,3,female,33.7,0,0,15.59,S
168,0,3,male,18.7,0,0,34.9,S
169,0,2,male,23.0,1,1,38.1,S
170,0,3,male,19.1,0,0,0,C
171,1,2,female,51.0,0,0,106.3,C
172,0,3,male,13.0,0,0,0,C
173,0,3,male,27.2,0,0,6.12,Q
174,1,3,female,29.0,2,1,26.71,C
175,0,3,female,16.9,0,0,15.88,C
176,0,3,male,31.2,0,0,7.31,C
177,0,3,male,22.8,0,2,45.12,C
178,0,1,male,41.8,2,0,42.03,Q
179,1,1,male,27.6,2,1,83.38,S
180,0,1,male,23.9,1,0,116.63,S
181,0,3,male,37.7,0,2,13.66,S
182,1,1,female,30.6,0,0,90.16,S
183,1,1,female,27.9,0,0,77.92,C
184,1,1,female,30.9,0,0,100.73,Q
185,0,3,male,15.8,0,3,26.32,Q
186,0,2,male,15.2,0,1,46.9,S
187,0,1,female,5.4,0,1,69.55,Q
188,0,3,male,29.9,1,0,5.31,Q
189,0,3,male,23.2,0,1,27.79,Q
190,1,3,male,21.7,0,0,50.79,Q
191,0,2,female,26.8,0,3,0,Q
192,1,2,female,35.1,0,0,0,C
193,0,2,male,22.5,0,0,34.78,C
194,0,2,male,23.5,0,0,0,S
195,0,3,male,21.2,0,0,0,C
196,0,1,female,35.1,1,0,81.62,Q
197,1,1,male,15.3,0,0,36.0,S
198,1,2,female,21.7,0,0,7.76,Q
199,0,3,male,27.2,0,3,27.49,Q
200,0,3,male,47.7,0,1,39.27,Q
201,0,3,female,17.1,0,0,0,Q
202,0,3,male,32.5,0,0,0,C
203,0,3,female,15.3,1,0,5.61,S
204,1,1,female,52.3,0,0,79.92,S
205,0,3,male,7.9,0,1,21.34,S
206,1,1,male,1.9,0,0,98.06,C
207,1,1,male,11.1,1,1,119.17,Q
208,1,3,female,36.4,0,0,24.02,C
209,1,3,male,15.9,0,1,0,S
210,0,3,male,47.2,0,0,20.07,S
211,0,3,female,41.5,0,0,0,C
212,1,3,female,7.5,0,0,20.79,Q
213,1,3,female,35.9,3,0,0,Q
214,1,2,male,21.4,0,0,40.34,C
215,0,3,female,28.3,0,0,52.05,S
216,1,1,male,13.2,0,0,80.26,C
217,1,2,female,37.5,0,0,17.11,Q
218,0,3,female,27.6,0,0,14.5,Q
219,1,3,female,32.4,0,0,13.82,Q
220,1,3,female,36.9,0,0,0,C
221,1,3,female,15.5,0,0,5.22,Q
222,1,1,male,24.3,0,0,44.84,S
223,1,3,female,50.4,1,0,64.11,Q
224,1,3,female,25.0,1,0,0,S
225,1,2,female,34.5,1,0,0,Q
226,0,3,male,24.7,0,0,0,S
227,0,2,male,61.4,0,0,29.59,Q
228,0,2,male,7.6,2,1,38.44,S
229,0,3,male,0.5,0,0,0,C
230,0,3,female,15.4,1,1,0,Q
231,0,1,male,27.9,2,3,96.56,Q
232,1,3,female,22.7,2,1,28.91,Q
233,1,3,female,39.1,0,1,0,C
234,0,2,male,19.4,0,0,37.77,C
235,0,2,female,40.6,0,0,41.01,S
236,1,1,male,43.7,1,0,86.69,C
237,0,3,male,0.7,1,0,37.82,C
238,1,2,female,9.4,0,0,0,S
239,0,3,male,35.4,1,0,5.57,C
240,1,2,female,37.1,1,0,50.63,C
241,0,3,male,39.4,0,0,4.15,S
242,1,3,female,24.4,0,0,48.01,S
243,0,1,female,34.6,1,0,54.94,S
244,0,3,female,45.8,0,0,27.42,Q
245,1,1,female,32.1,2,0,113.35,S
246,0,2,female,26.2,0,0,13.3,Q
247,1,3,female,20.7,2,0,0,C
248,0,1,male,0.5,0,0,96.74,Q
249,0,3,male,29.6,0,1,0,S
250,0,3,male,33.9,1,2,7.15,C
251,1,1,female,39.2,1,0,62.89,Q
252,0,3,male,11.9,0,0,18.92,Q
253,1,2,male,7.5,1,0,42.4,C
254,0,3,male,32.9,2,0,8.98,Q
255,1,1,female,9.2,0,2,109.9,Q
256,0,3,male,20.6,0,0,0,S
257,0,3,male,29.5,0,0,0,Q
258,1,3,male,20.1,0,1,14.84,C
259,0,3,male,28.3,0,0,19.45,S
260,1,1,male,21.6,0,1,88.42,C
261,0,3,male,37.1,0,0,0,S
262,0,1,male,46.9,0,0,77.82,S
263,0,3,male,17.6,0,3,0,S
264,1,3,female,23.3,0,0,0,S
265,0,3,female,32.9,0,0,3.29,Q
266,0,3,male,19.8,0,0,21.9,Q
267,1,1,male,42.9,0,0,86.19,C
268,1,3,male,0.5,0,2,17.21,C
269,1,1,male,29.5,1,0,46.5,S
270,1,3,female,30.2,0,0,0,Q
271,1,3,female,60.2,0,1,44.77,C
272,0,2,male,27.9,0,0,16.39,S
273,1,1,female,32.3,0,0,105.77,S
274,1,3,female,47.6,0,0,6.01,Q
275,1,3,female,39.8,3,2,50.41,S
276,0,3,male,29.3,1,0,0,S
277,1,1,female,16.4,0,0,99.84,Q
278,1,1,female,47.1,0,3,81.83,C
279,1,3,female,38.6,0,0,0,C
280,1,3,female,32.4,0,0,0,Q
281,0,2,male,19.9,0,3,55.69,S
282,1,1,female,18.6,0,0,95.86,C
283,1,2,female,2.7,0,0,4.11,C
284,1,3,female,23.8,1,0,57.03,S
285,0,1,female,39.5,0,1,81.34,Q
286,0,2,male,3.1,0,0,4.16,Q
287,1,1,male,0.5,0,0,79.73,C
288,1,3,female,40.2,0,1,8.55,Q
289,1,2,female,8.8,0,0,32.53,S
290,0,2,male,35.1,1,0,25.71,S
291,1,2,male,40.0,0,0,20.56,C
292,0,2,female,32.8,0,0,25.24,Q
293,1,1,female,25.5,1,2,85.45,C
294,1,1,female,35.4,0,0,93.85,C
295,1,2,female,30.7,2,0,1.46,Q
296,0,1,male,31.1,0,1,81.75,Q
297,1,2,female,4.4,0,0,35.73,Q
298,0,3,male,19.3,0,0,13.64,S
299,0,3,male,22.8,1,0,26.41,S
300,0,3,male,20.6,2,0,0,S
301,0,3,male,38.5,0,0,0,S
302,0,2,male,22.6,0,3,0,Q
303,1,3,female,4.2,0,1,2.42,S
304,0,3,male,30.4,0,0,0,C
305,1,3,female,40.3,1,0,8.28,C
306,0,3,male,14.9,1,0,18.66,S
307,1,3,female,39.5,2,0,24.67,S
308,0,2,female,31.6,0,0,0,S
309,1,2,female,49.2,0,0,28.73,C
310,1,1,male,12.4,0,0,77.46,Q
311,0,2,male,36.0,0,0,46.96,C
312,0,2,male,25.3,1,1,6.97,C
313,0,3,male,21.8,0,0,21.9,Q
314,1,3,female,13.8,0,1,0,S
315,1,3,female,44.3,0,0,0,C
316,0,1,male,15.5,0,0,78.59,C
317,0,3,male,12.7,0,0,4.15,Q
318,0,3,male,18.8,0,0,13.27,S
319,1,3,female,24.2,0,0,0,C
320,1,2,female,35.6,1,0,39.26,S
321,0,3,female,32.1,0,1,0,C
322,0,2,male,34.5,1,0,19.4,Q
323,1,1,female,15.0,0,3,110.0,C
324,0,3,female,40.3,0,0,0,C
325,1,3,female,9.5,0,3,6.57,Q
326,0,2,male,43.4,0,0,45.07,Q
327,1,1,male,30.0,1,0,111.53,S
328,1,1,female,20.6,0,1,66.04,C
329,1,3,female,12.5,0,1,18.5,S
330,1,3,female,42.7,0,2,0,C
331,0,2,female,18.4,0,0,42.38,Q
332,0,3,male,47.9,0,0,32.5,C
333,1,1,female,36.3,0,0,109.19,C
334,1,3,male,22.0,0,2,0,C
335,0,3,male,22.5,0,0,15.76,C
336,1,1,female,51.6,1,3,81.8,Q
337,1,3,male,11.2,0,0,33.72,Q
338,0,3,male,14.7,0,0,0,S
339,1,2,male,22.4,0,0,11.74,C
340,1,1,male,18.3,2,0,69.49,C
341,1,3,male,10.1,0,1,3.09,S
342,1,3,female,33.3,0,0,38.27,S
343,0,3,male,21.2,0,0,12.31,S
344,1,1,female,36.8,1,0,75.71,Q
345,1,1,female,53.0,0,0,70.32,Q
346,1,3,female,8.3,0,0,10.83,S
347,0,3,male,25.9,0,0,28.97,C
348,1,2,male,22.5,2,0,39.94,C
349,1,2,female,24.4,0,0,15.64,C
350,0,3,male,45.8,0,1,54.39,S
351,1,2,female,27.2,1,0,10.03,Q
352,1,1,male,13.3,0,1,80.58,C
353,1,2,male,44.5,0,0,1.54,C
354,0,3,male,40.8,2,0,17.42,C
355,1,3,female,29.7,1,0,26.92,C
356,0,1,male,40.9,3,2,112.62,C
357,0,3,female,19.7,0,0,34.45,S
358,0,3,male,9.7,0,1,18.02,C
359,0,3,male,47.0,0,0,49.66,S
360,1,3,female,48.5,1,0,12.27,C
361,1,3,female,23.1,3,0,12.35,C
362,1,1,female,25.9,2,0,61.61,C
363,1,3,female,44.2,0,2,23.74,C
364,0,3,female,21.0,0,0,0,C
365,1,1,male,34.7,0,0,89.93,S
366,1,3,female,24.1,0,0,26.65,S
367,0,3,male,34.0,0,0,50.47,Q
368,1,1,female,27.3,0,0,141.03,Q
369,1,3,male,3.4,0,0,20.53,C
370,1,3,female,15.1,0,0,0,C
371,1,1,female,32.2,1,1,71.82,C
372,0,3,male,41.3,1,0,2.22,Q
373,0,1,male,39.4,0,0,71.26,S
374,1,2,female,0.5,0,0,20.29,Q
375,1,1,male,12.8,1,3,53.64,S
376,1,3,female,17.9,0,0,33.45,C
377,0,1,female,70.4,0,0,102.23,C
378,0,1,male,27.3,1,0,116.62,C
379,1,3,female,11.6,1,0,42.24,S
380,1,3,female,30.9,1,2,9.54,S
381,1,3,female,19.6,0,0,8.75,S
382,0,3,male,18.5,1,0,36.04,C
383,0,3,female,35.4,1,0,16.13,C
384,1,3,male,4.6,0,0,46.04,Q
385,0,3,female,37.3,0,0,0,S
386,1,3,female,31.1,0,0,38.29,S
387,1,1,male,62.4,0,3,64.58,S
388,0,3,male,23.8,0,0,4.79,C
389,0,3,male,4.4,1,0,0,S
390,1,2,female,33.4,0,1,49.76,S
391,1,2,female,56.5,0,0,11.98,S
392,0,3,male,30.9,1,0,18.68,Q
393,1,1,female,36.5,1,0,97.01,C
394,1,3,female,23.8,0,0,0,Q
395,1,1,male,44.2,0,2,76.71,S
396,0,2,male,39.5,0,0,31.33,C
397,1,2,female,36.8,0,0,0,C
398,0,2,male,21.2,1,0,21.64,S
399,1,3,female,39.6,0,0,50.2,Q
400,1,2,female,20.6,1,0,15.5,S
401,0,3,male,2.7,1,0,0,S
402,0,3,male,22.4,1,0,13.21,S
403,0,3,male,45.1,0,3,35.08,C
404,1,1,female,48.7,0,1,94.33,C
405,0,2,male,43.2,0,1,33.26,S
406,0,3,female,34.1,0,0,19.4,C
407,0,3,male,34.3,1,1,0,Q
408,1,3,female,38.9,0,0,15.74,S
409,1,2,female,26.4,0,0,14.08,Q
410,1,3,female,17.9,1,0,47.69,C
411,1,3,female,29.9,1,0,0,C
412,1,1,female,28.7,1,1,46.29,S
413,1,1,female,48.0,1,0,109.39,C
414,1,1,male,30.0,1,0,102.08,Q
415,1,3,female,23.3,0,0,4.27,S
416,0,3,female,16.9,0,1,2.37,S
417,0,1,male,23.7,0,2,87.8,C
418,1,3,female,18.3,1,2,0,S
419,0,3,male,26.5,0,1,10.45,Q
420,1,3,female,15.9,0,0,20.95,Q
421,1,3,female,26.5,3,2,10.77,Q
422,1,3,female,26.0,0,3,21.13,S
423,1,2,female,34.4,0,0,42.35,S
424,0,2,male,24.3,3,0,0,Q
425,0,3,male,15.8,1,0,38.35,Q
426,1,3,female,43.1,1,0,0,C
427,0,3,male,56.4,0,0,0,C
428,0,2,female,15.1,0,0,39.16,C
429,0,3,male,18.9,0,0,14.28,S
430,1,1,male,36.1,0,0,90.16,Q
431,1,3,male,30.9,0,0,0,S
432,1,2,male,28.6,1,0,7.88,C
433,1,2,female,0.5,0,0,49.58,C
434,1,3,female,28.7,0,0,0,S
435,0,3,female,25.5,0,0,20.61,C
436,0,2,female,11.7,0,0,26.63,S
437,1,2,female,22.3,2,2,30.0,Q
438,0,1,male,30.7,0,0,84.09,S
439,1,1,female,32.6,0,0,52.31,C
440,1,1,male,18.1,0,0,89.77,C
441,0,3,male,21.5,0,0,39.94,S
442,1,2,male,8.6,0,1,17.98,Q
443,1,1,female,48.4,0,0,33.11,C
444,0,3,male,21.9,0,0,0,C
445,0,3,female,31.6,0,0,19.0,C
446,0,3,female,39.7,0,0,10.81,C
447,1,3,female,31.9,1,0,0,C
448,1,1,male,15.9,2,0,117.34,S
449,0,3,male,38.7,0,1,25.26,S
450,1,3,male,44.4,0,2,32.13,C
451,0,3,female,34.8,0,0,0,Q
452,1,3,male,11.9,1,0,14.46,C
453,0,2,male,48.6,0,0,15.88,S
454,0,2,male,7.5,0,0,23.35,S
455,1,3,male,22.9,1,1,2.84,C
456,0,3,male,22.5,0,0,26.11,Q
457,1,1,female,12.8,0,0,88.96,Q
458,0,3,male,39.5,0,0,24.4,C
459,1,3,female,41.9,0,0,0,Q
460,0,1,male,37.0,1,0,65.1,S
461,0,3,male,44.8,0,0,28.86,S
462,0,2,female,26.7,0,0,14.15,S
463,0,2,female,21.1,2,0,11.73,Q
464,1,1,female,41.3,2,1,92.96,S
465,1,3,female,9.0,0,0,0,S
466,0,3,female,36.5,0,2,0,C
467,1,1,male,46.3,0,0,97.73,Q
468,1,3,male,22.7,2,0,62.92,C
469,0,3,female,37.7,0,0,0,S
470,1,1,female,17.8,0,0,38.44,C
471,0,3,female,22.2,0,0,0,S
472,1,3,female,38.5,0,0,0,Q
473,0,3,male,25.4,3,0,46.9,C
474,0,3,female,33.0,0,0,35.93,S
475,0,3,male,27.1,0,1,0,S
476,1,3,female,1.3,2,0,44.54,S
477,0,3,male,10.3,1,1,0,S
478,1,3,male,33.9,0,0,0,S
479,0,3,male,17.4,0,0,26.75,S
480,1,1,female,28.0,0,0,68.77,C
481,1,3,female,9.8,0,1,13.55,Q
482,0,3,male,29.9,0,0,0.52,Q
483,0,1,female,24.3,2,0,94.56,Q
484,0,3,male,37.7,0,0,24.16,S
485,1,1,female,11.7,0,0,104.19,S
486,1,3,female,11.4,0,0,9.86,S
487,1,3,male,45.4,0,0,55.45,C
488,0,3,male,37.7,0,0,0,S
489,1,3,female,7.9,1,0,0,Q
490,0,1,male,53.5,0,0,91.89,C
491,1,2,female,17.8,0,0,4.45,S
492,0,3,male,28.7,1,0,0,S
493,1,3,female,19.1,2,0,1.91,S
494,1,1,male,39.1,1,0,95.05,S
495,1,3,female,30.0,1,0,11.21,C
496,0,3,male,20.2,1,0,43.28,Q
497,0,3,male,33.2,1,0,23.97,C
498,1,3,male,47.3,3,0,0,S
499,0,3,female,46.4,0,0,30.61,C
500,1,1,female,8.0,0,0,50.71,S
501,0,3,male,15.8,0,0,4.38,C
502,1,3,female,25.8,0,0,30.61,Q
503,0,2,female,21.3,0,0,20.79,Q
504,0,1,male,27.6,0,0,121.56,C
505,1,3,female,29.2,0,0,0,S
506,1,3,female,5.0,0,1,38.35,C
507,0,3,female,26.7,0,2,14.2,S
508,0,3,male,19.7,2,0,16.17,C
509,1,3,female,50.9,0,0,20.51,C
510,1,1,female,6.1,1,0,108.92,S
511,1,3,female,33.6,0,0,0,S
512,0,3,male,14.5,1,0,9.97,Q
513,1,2,female,29.2,1,0,18.5,C
514,0,3,male,32.8,0,1,21.48,S
515,1,3,male,12.1,0,0,14.65,Q
516,1,1,male,41.1,1,0,97.96,C
517,1,1,female,15.4,0,0,64.95,S
518,0,3,male,0.5,1,0,31.71,Q
519,0,3,male,16.0,0,0,0,Q
520,1,1,female,25.0,0,1,86.32,S
521,0,3,male,41.3,0,1,50.67,S
522,1,1,female,13.7,0,0,43.69,S
523,0,3,female,43.3,0,2,0,Q
524,0,2,male,18.4,1,2,26.92,C
525,1,3,female,27.9,1,0,14.09,S
526,0,1,male,25.4,0,0,63.89,S
527,1,2,female,10.3,3,0,9.12,C
528,1,3,female,35.8,0,3,35.07,S
529,0,3,male,40.6,1,0,0,S
530,1,1,female,35.7,0,0,44.99,C
531,1,3,male,36.7,0,0,0,C
532,0,1,male,12.6,2,0,59.68,S
533,0,3,male,52.4,0,0,0,C
534,1,3,female,36.3,0,0,44.92,S
535,1,1,male,8.6,0,0,34.91,Q
536,0,2,male,5.3,0,0,16.36,Q
537,0,3,female,13.2,0,2,42.09,Q
538,0,3,female,35.5,0,0,33.17,Q
539,0,3,female,46.3,0,0,0,Q
540,1,3,female,43.1,0,0,6.66,C
541,1,2,female,0.5,0,0,0,Q
542,0,2,male,24.7,0,0,5.1,S
543,0,1,male,17.1,1,0,82.74,S
544,1,3,female,27.2,0,0,0,C
545,1,2,female,31.7,2,0,27.89,S
546,0,1,male,37.8,0,1,64.27,S
547,1,3,female,9.3,0,0,31.94,Q
548,1,3,female,11.3,0,3,30.86,S
549,0,2,male,37.6,0,0,21.02,S
550,1,1,female,31.3,0,0,102.51,Q
551,1,2,female,18.6,0,0,35.17,S
552,1,3,female,33.9,1,0,0,S
553,0,3,male,21.4,1,0,17.09,S
554,1,3,female,27.8,0,0,51.55,C
555,0,3,female,31.3,1,0,4.37,Q
556,1,3,female,20.0,0,0,29.1,S
557,0,3,male,39.4,0,0,9.88,S
558,1,1,female,0.5,1,0,91.31,Q
559,0,3,female,31.1,0,0,5.74,Q
560,1,3,female,26.0,1,0,33.51,S
561,0,2,male,29.2,1,0,23.96,S
562,1,1,male,25.0,2,0,85.4,C
563,0,2,male,43.4,0,2,36.86,Q
564,1,2,female,21.2,0,0,23.64,C
565,1,3,female,38.3,1,2,0,S
566,0,3,male,15.0,1,1,0.07,Q
567,1,3,female,41.5,0,0,0,Q
568,1,2,female,45.0,1,0,21.61,Q
569,1,1,female,45.1,0,0,72.55,Q
570,0,3,female,38.9,0,0,50.32,S
571,0,2,female,29.0,0,0,27.99,S
572,1,3,female,17.7,0,0,0,C
573,1,2,female,19.8,0,0,9.25,C
574,1,3,male,30.5,0,0,20.55,S
575,0,1,male,17.2,0,1,80.74,Q
576,1,3,female,48.4,0,0,28.1,Q
577,0,3,male,36.4,0,0,2.75,S
578,1,3,female,28.8,0,0,76.55,C
579,1,3,female,0.6,2,0,44.72,S
580,0,3,male,27.6,0,1,40.53,S
581,1,1,female,26.2,0,0,90.8,C
582,1,1,female,26.9,1,0,69.25,Q
583,0,3,male,46.7,1,1,22.55,C
584,0,2,female,33.1,0,0,0,Q
585,0,2,male,13.0,0,0,21.98,C
586,1,3,female,26.8,1,2,0,S
587,1,3,female,24.9,0,0,27.0,S
588,0,3,male,18.3,0,0,0,C
589,1,3,female,35.8,1,0,40.19,Q
590,0,3,male,44.9,0,2,28.68,C
591,1,1,female,31.3,0,0,84.75,Q
592,0,3,female,37.4,1,0,16.29,C
593,0,3,male,8.4,0,0,17.69,Q
594,1,3,male,32.9,0,0,0,Q
595,1,1,male,38.2,0,0,88.61,S
596,0,3,male,11.3,1,0,2.83,S
597,1,2,female,34.3,0,0,11.89,Q
598,1,3,female,55.6,0,3,0,Q
599,1,3,female,14.0,0,0,0,S
600,1,3,female,28.3,0,0,11.9,C
601,0,3,female,68.3,0,0,14.38,S
602,0,3,male,40.9,0,0,24.4,S
603,1,2,female,39.9,1,0,31.03,S
604,0,3,female,37.8,0,2,0,S
605,1,1,female,34.2,1,0,83.21,Q
606,0,3,male,27.6,2,0,0,S
607,1,2,male,20.4,0,0,43.39,C
608,1,3,female,51.0,0,0,5.95,Q
609,1,2,male,19.8,1,0,39.48,Q
610,0,3,male,29.2,0,0,0,S
611,1,3,male,28.5,0,0,27.72,S
612,1,3,female,22.0,0,0,21.74,Q
613,1,2,female,17.2,2,0,4.94,S
614,1,3,male,31.6,2,2,16.35,Q
615,0,3,male,22.6,0,0,33.24,C
616,1,3,female,9.4,3,0,3.57,S
617,1,3,male,27.8,0,0,19.04,Q
618,0,3,male,46.8,0,2,23.94,Q
619,1,1,female,31.6,2,0,99.44,Q
620,1,3,male,34.4,0,2,33.71,C
621,1,3,female,21.0,0,0,29.3,Q
622,0,2,female,35.4,1,1,0,C
623,0,3,male,45.3,0,0,46.78,Q
624,0,3,male,12.1,0,0,24.95,S
625,0,3,male,17.4,1,0,0,C
626,0,3,male,0.5,1,0,30.63,S
627,0,2,male,38.8,0,0,55.03,Q
628,1,2,female,20.4,1,0,51.25,S
629,0,3,male,30.2,3,0,15.39,S
630,0,1,male,30.4,0,1,84.57,C
631,1,3,female,33.6,0,0,30.12,C
632,0,3,male,58.6,0,0,0,C
633,1,1,female,40.9,0,0,62.8,C
634,1,3,female,25.4,2,0,0,S
635,0,3,male,12.8,1,0,9.16,C
